sequence,rank,university,overall_score,academic_reputation,employer_reputation,faculty_student_ratio,citations_per_faculty,international_faculty_ratio,international_students_ratio,international_research_network,employment_outcomes,sustainability,Fundos (US$)
57,58,University of Texas at Austin,71.8,93.5,83.2,8.9,86.7,9.3,11,79.4,70,77.7,0
58,59,Sorbonne University,71.7,88.6,53.2,43.3,85.4,35.2,49.8,100,39.5,75.8,0
59,60,The Hong Kong University of Science and Technology,71.1,83.3,42.6,53.6,99.1,100,91.4,5.3,50.3,31,0
60,61,KU Leuven,70.1,84.6,42.4,7,92.7,93.1,45.7,99.9,56.1,75.6,0
61,62,"University of California, San Diego (UCSD)",70,89.1,50.4,49.6,74.3,68.1,51.3,94.9,17.7,72.5,0
62,63,University of Washington,69.2,84,50.4,19.1,93.5,19,33.2,94,70,88.1,0
63,64,University of Illinois at Urbana-Champaign,69.1,85,70.8,7.5,86.5,11.1,49.2,76.4,66,83.5,0
64,65,The Hong Kong Polytechnic University,68.7,68.1,30.2,68,88.8,100,87.4,42,49.2,92.8,0
65,66,Universiti Malaya (UM),68.7,81.2,96,71.6,32.7,52.8,58.9,79.3,28.1,93.4,0
66,67,The University of Warwick,68.6,71.3,88,37.3,49,98.2,99.3,89.7,47.2,62.5,0
67,68,The University of Auckland,68,81.6,40.8,19.3,61.7,100,91.6,64.4,94.3,99.6,0
68,69,National Taiwan University (NTU),67.9,92.8,91.3,30.9,47,17.7,20,33.2,99.7,95.6,0
69,70,City University of Hong Kong,67.7,59.6,27.3,86.6,99.9,100,100,17.4,29.5,82.1,0
70,71,UniversitÃ© Paris-Saclay,67.6,58.9,99.1,99.8,45.8,39.1,60.8,98.7,34.3,73.6,0
71,72,The University of Western Australia,66.9,56.2,44.6,16.5,98.9,100,99.8,90,66,70.1,0
72,73,Brown University,66.4,58.3,42.4,77.8,85.9,84.5,52,58.3,74.8,70.4,0
73,74,KTH Royal Institute of Technology,66.4,45.7,51.1,66.2,90.2,93.2,68.1,80.7,56.9,96.1,0
74,75,University of Leeds,65.5,70.3,76.7,37.3,42.3,85.2,90,98.7,37.8,90.9,0
75,76,University of Glasgow,65.2,76.3,70.7,41.7,31.8,96,99.5,90,26.7,99.5,0
76,77,Yonsei University,65.2,80,96.3,87.4,36.2,19.6,49.7,25,70.9,38.1,0
77,78,Durham University,65.1,59.5,89.3,27.8,53.3,97.5,86.9,86.2,29.2,97.6,0
78,79,Korea University,64.7,82.2,94,81,36.6,13.6,36.3,19.6,70.6,58.6,0
79,80,Osaka University,63.9,81.3,89.1,55.3,62.7,28.6,13.2,26.7,23.4,58.6,0
80,81,"Trinity College Dublin, The University of Dublin",63.5,69.3,39.8,23.7,64.1,99.8,92.5,82.2,70.6,75.6,0
81,82,University of Southampton,63.5,51.5,51.2,52.8,71.4,96.1,97.4,97,32.5,82.7,0
82,83,Pennsylvania State University,63.1,77.5,63,28.4,62.9,23.4,26.8,96.6,47.5,95.1,0
83,84,University of Birmingham,63,67.5,75.7,41.3,38.2,92.3,83.9,96,29.5,80.4,0
84,85,Lund University,62.8,69.3,47.5,50.2,37.7,98.8,77.4,95.2,66,99.1,0
85,86,Universidade de SÃ£o Paulo,62.8,92.4,82.9,19.2,29.9,6,2.3,90.9,89.7,96.1,0
86,87,Lomonosov Moscow State University,62.2,81.2,78.3,99.8,4.6,20.3,92.3,85.2,82.2,13.4,0
87,88,UniversitÃ¤t Heidelberg,62.2,78.3,52,99.7,38.2,52.5,50.4,89.7,19.8,42.6,0
88,89,The University of Adelaide,62,54.2,36.5,16.2,87.1,100,99.6,78.8,38.4,96.3,0
89,90,University of Technology Sydney,61.8,43.4,57.8,9,95.3,96.6,93.6,79.7,30.1,93.1,0
90,91,Tokyo Institute of Technology (Tokyo Tech),61.6,74.4,94.8,84.4,53,31.8,31.7,8.9,19.7,18,0
91,92,University of Zurich,61.6,59.1,27.6,89.9,52,100,53,87.2,75.2,80.2,0
92,93,Boston University,61.4,61.7,68.3,32.7,60.1,21.6,87.5,72.6,68.6,85.9,0
93,94,Universidad Nacional AutÃ³noma de MÃ©xico (UNAM),61.4,96.6,98.2,39.8,2.7,8.3,2.5,84.5,68.4,88.5,0
94,95,Universidad de Buenos Aires (UBA),61,93.3,98,73.5,1.7,62.6,66.7,28.1,26.2,18.8,0
95,96,University of St Andrews,61,47.3,67.2,64.9,57.7,98.7,100,51.1,22.4,92.1,0
96,97,Georgia Institute of Technology,60.9,67.4,85.1,15.3,67.1,38.8,65.4,33.2,41.7,70.4,0
97,98,Freie Universitaet Berlin,60.8,80.8,51,4.4,71.4,62.8,43.6,84.9,21.9,60.1,0
98,99,Purdue University,60.7,63.9,81.2,10.3,68.4,41.5,45.8,75.4,53.4,67.4,0
99,100,Pohang University of Science And Technology (POSTECH),60.4,51.6,75.9,99.9,98.3,33.8,2.6,1.3,13.4,16.9,0
100,101,University of Nottingham,60.4,60.7,72.1,32.2,46.5,90,75.2,98.4,24.4,80,0
101,102,University of Wisconsin-Madison,60,80.2,47.8,61.3,37.4,30.9,22.8,83.6,73.1,83.7,0
102,103,Pontificia Universidad CatÃ³lica de Chile (UC),59.9,92.9,99.5,20.6,11.6,16.4,3.5,56.8,76.3,91.3,0
103,104,The University of Sheffield,59.7,58.7,52.3,54.7,46.9,84,97.5,96.1,24.9,76.3,0
104,105,Uppsala University,59.4,62.7,30.5,47.7,45.6,98.3,82.4,95.5,58.2,99.4,0
